defect_words_unique,design_words_unique,test_words_unique,documentation_words_unique,implementation_words_unique,other_words_unique,common_words
127-0-1-1-,3b+windows+98,1.3/xmi,3.1a,hadle,java.awt.event,want
abstraction/realization,'involved,infix,nonblock,reentrant,throughpur,a
semi-bad,inserted/updated,tag=,compstate,unfinished,ignored.,setting
url.getfile,desperate,orderingkind,movement,_compilecheckbox.setenabled,resulttab.statementlabel=sql,is
assertnull,'contents,-jglick,similarily,microsystems,packagelist,also
rowheadertablecol1.setresizable,re_intervals,error.indexof,mention,enumeratedtype,popupeditableiopanel.errorgettingpath=error,string
rfcheader.getcc,sufficent,blockbodynodes,0.28,java.text.rulebasedcollator,smooth,create
awt-eventqueue-0,trysavewithprogressmonitor,attributeimpl,sdi,arg_concat,save_all,author
hoist,ignorelinks,8.5.5,1b,descriptors/io,uniq,object
datatypepreferencespanel,unregistration,umlexception,centralise,elemnents,activesessions,changing
~frogger\\foo,compoundstring,23:13,.isageneralization,'nmtokens,downloadstatuseventhandler.filelabel=file,for
action-expression,getridofthis,writable_real_p,intno,c++,backspaceaction,file
compiler/impl/basebodycompiler,0.13.1m4,cleanallextents,-print,'idref,stopserver,go
elements.isempty,stringhelper,messagedirectionkind,firepropertychanged,algorthim,observations,use
mentioning,getzipname,aggregationkind,jmheight,java.util.uuid,2line_width,fixme
.getpathlist,brittle,alexb,f_setfl,mappings.getlogicaltablename,in.available,code
javax.jmi.reflect.invalidobjectexception,figgeneralization,cleanallextentsbut,contradict,svgwriter2d,datasetupdateabletablemodelimpl.error.nomatchingrow=could,n't
rubicon,publiconly,savegraphics,exceptional,intent,findrangebounds,make
non-varchar,pre-alpha,8.5.13,20060203,colgroup,pointbase.sysschemata,it
link.getconnection,simplified/removed,factories.,3.1b,diagram/project,75,contains
2171,20060228,listset.equals,objeccts,gen.getparent,gridbagconstraints2.anchor,path
1000x,waffel,asf-logo-huge.tar.bz2,documenting,oclexpression,colon3,type
emitting,definenew,sax2,setfl,.checkmethodarity,dummyfoldhandler,either
outgrow,getreferencedpropertytype,8.5.12,sesion,fillfactor,/var,currently
match2,kkeep,isamodel,f_setfd,mightbedirty==false,bigdecimal,association
op_match2,config-files,file_utils.contentequals,f_getfl,stringfield.settooltiptext,tile,the
2.10.52,externalize,cmof,-open,drain,jmeter.java,application
getlocationonscreen,oja,8.4.4,1c,.getgenerationoutputdir,umlvaluespecificationpanel,yet
fixpak,toolbarfactory.additemstotoolbar,conformance,conformancy,renderorderbypropertiesselect,genv.getavailablefontfamilynames,argouml
5079,ruby-based,xslttest,statevertexes,20070724,x-attachments,part
primed,currentnamespace,availability,umlactivitydiagram,harold,10-20,test
currentmodule,schema/catalog/table,competent,quickguide,e.getsource,lied,diagram
newlanguage,test_type,eventadapter,source/dest,liddle,fixes,gone
.getuid,aslo,reportsavegraphics,4.14.3.3,nondeterminism,isborderopaque,used
20080508,mehod,anybody,umlpredecessor,parsetextdecl,increased,match
hibernate.timestamp,post-1.0,testumlassociationrolebasecomboboxmodel,interacts,ctoks,re-snapshot,proper
children/specializations,buildtopstateonstatemachine,testprojectsettings,,supportsnotnullunique=false,xmlparserutils,generated
ambitious,singletableentitypersister,0.29.3,,jhm,getpassword,problem
invalidelementexceptions,wierd,createproppanel,,gettop,outputwriter,do
altercoltypesql,extensible,2003-08-05,,argofigline,heavy-weight,reason
type.,00:00:00:000,changeablekind,,re-ordered,datatypesfactory,previous
departement,getinputmap,expected/asf-logo-huge.tar.bz2,,swimlane,deploy,implement
'jruby,getdefaultnamespace,0.15.2,,block.,1/,why
getvarcharcolumn,getimportedelement,clarify,,~fmode_readable,portname,tfm
findstereotype,shallow/non-shallow,test-subject,,modeleventpump,net.sourceforge.squirrel_sql.plugins.dbcopy.event.statementevent,in
httphc4impl,httpreplyhdr.forminternalerror,decisive,,range.to_ary,getexportedkeys,exception
distinction,ieqlnode,parameterdirectionkind,,3100k,aload_0,enumeration
ffftffffffff,regenerating,usefule,,reopened,utilities,correct
bandung,shim,toolid,,800k,set_null,property
ludos,emenates,ownedmember,,abstraction.mapping,valueforpathchanged,this
encapsulated,generalize,jre1.4+,,constantfields,quality,model
r.getmessage,cookiemanager,project.resolvefile,,hookup,uninstantiated,return
full-precision,modelmanagement.elementimport,mlivingstone,,/colgroup,wrapee,check
broaden,hbmbinder,readable_real_p,,columnsunique.put,identitifier,sequence
yayan,filegenerator,8.4.7,,auto-generate,rewound,open
getopt,xerces-j,explorertreenode,,southeast,atend,linus
statisticalsampleresult,methods/fields,isaprofile,,alpha/beta,pivot,we
5017,persistancemanager,coverage,,4900k,994,get
reviewed/updated,streams,,,columnalias,11-mar-2004,only
propmap.hashcode,compoundcritic,,,6700k,b.add,fix
join/,propertyaccessor.getsetter,,,targetsourcerangecomputer,aload_1,param
blog,parameter.,,,built.,getdependentplugins,first
checkdirty,yick,,,non-new,09ff,one
scroll-wheel,re-run,,,oclistypeof,fetch/store/list,number
id=2552,.getfilterrule,,,parameters.length,jdialog,thing
eresource,org.apache.xerces.impl.xmlentitymanager,,,processconstants,querytokenizer,new
teststereotypeutility.findmodelelementnamed,inelegant,,,safestringvalue,inserts/updates,supported
org.argouml.model.invalidelementexception,id2name,,,polar,covering,case
newuid,blockscope,,,'standalone,cancelstatementthread.cancelsucceededlate=canceling,link
inlining,expressionmodel,,,figpartitions,contructors,class
joinsequence.getfrompart,defaultinitializecollectioneventhandler.initializecollectionfromcache,,,4000k,removeall,...
re-referenced,authored,,,northeast,isscriptrunning,add
work-round,b.getwidth,,,templateparameter.defaultelement,query_expression,change
cursory,umlcomboboxentry,,,jruby-3466,directoryentrycompare,todo
dialect.getcolumntypealtersql,graphevents,,,internationalisation,sqlresultexecuterpanel.scriptstmtcounts=row,given
'd'in,manageable,,,read_write,istream,version
5.1,propagates,,,compress,h-1,way
incorect,committing,,,selected/visible,supportstransactionisolationlevel,i
aclass,newlength,,,2565k,sessioninternalframeopened,old
~/scripts/foo,notimplemented,,,stereotype.,c.,anything
enclosingnamespace.cacheclass,cox,,,testdependencies,factorization,handle
20061208,resultset-ref,,,src/dest,animation,well
.gettime,setrootmodel,,,storageoptions,squirrel-sql.jar,e.g
inner_join,to-one,,,4565k,fromtable,need
beanshellerrordialog,databaseobjecttype.trigger,,,'armed,serif,whether
no_jikes,multipartcontenttype,,,threadsafe.,setuptest,see
isaabstraction,autodetected,,,debug/trace,connector,set
5692,excuse,,,powertypes,sandy,checked
class_,initialze,,,cut/copy/paste,function-name,needed
nilclass,figexitpoint,,,atttype,suite=,event
query.iterate,5005,,,cps,win9x,p
adapterfactory.adapt,non-public,,,figfoo,databasemetadata.searchabletypesearchable=supports,actually
